site_id,latitude,longitude,ice_exposure,d_icy,d_nonicy,reference,crism_ice,notes,color,image
Site P27,48.29,221.93,Possible,x,5.5,ESP_045448_2285,x,Minor color feature.,#FFAA00,https://www.uahirise.org/ESP_045448_2285
Site P28,-81.49,41.35,Probable,x,18,ESP_057152_0985,x,Impacted seasonal frost on south polar layered deposits. Small color feature in ESP_057574_0985 is likely ice. Irregular rim shape.,#FFFF00,https://www.uahirise.org/ESP_057152_0985
Site 1,46.35,176.89,Yes,4;3.75,4.5,PSP_009978_2265,n,x,#00FFC5,https://www.uahirise.org/PSP_009978_2265
Site 2,43.3,164.21,Yes,6,2.5,PSP_010084_2235,n,x,#00FFC5,https://www.uahirise.org/PSP_010084_2235
Site 3,55.58,150.6,Yes,8;4.5;3.5;3;3;3;1,x,PSP_010625_2360,y,x,#00FFC5,https://www.uahirise.org/PSP_010625_2360
Site 4,45.07,164.7,Yes,4.5,4,PSP_010585_2255,n,x,#00FFC5,https://www.uahirise.org/PSP_010585_2255
Site 5,46.18,188.5,Yes,12,x,PSP_010861_2265,n,x,#00FFC5,https://www.uahirise.org/PSP_010861_2265
Site 6,50.67,278.4,Yes (CTX),5.75,x,ESP_015908_2310,n,x,#00FFC5,https://www.uahirise.org/ESP_015908_2310
Site 7,44.22,164.2,Yes,24;10.75,7;6;6;5.5,ESP_016954_2245,y,x,#00FFC5,https://www.uahirise.org/ESP_016954_2245
Site 8,44.35,152.92,Yes,6.75;4.25,x,ESP_016994_2245,n,x,#00FFC5,https://www.uahirise.org/ESP_016994_2245
Site 9,63.92,44.88,Yes,20,x,ESP_017868_2440,y,x,#00FFC5,https://www.uahirise.org/ESP_017868_2440
Site 10,53.27,46.26,Yes,9,x,ESP_017789_2335,n,x,#00FFC5,https://www.uahirise.org/ESP_017789_2335
Site 11,50.51,265.2,Yes,14.75;7;3.75,5,ESP_017926_2310,n,x,#00FFC5,https://www.uahirise.org/ESP_017926_2310
Site 12,64.29,231.5,Yes,4,x,ESP_018125_2445,n,x,#00FFC5,https://www.uahirise.org/ESP_018125_2445
Site 13,60.99,238.72,Yes,4.5;3.25;3.25,x,ESP_018573_2415,n,x,#00FFC5,https://www.uahirise.org/ESP_018573_2415
Site 14,43.9,204.35,Yes,12.75,x,ESP_025840_2240,y,x,#00FFC5,https://www.uahirise.org/ESP_025840_2240
Site 15,50.78,208.76,Yes,5.75,x,ESP_025642_2310,n,x,#00FFC5,https://www.uahirise.org/ESP_025642_2310
Site 16,50.37,219.71,Yes,5.5;4,2,ESP_026802_2305,n,x,#00FFC5,https://www.uahirise.org/ESP_026802_2305
Site 17,52.01,214.7,Yes,8;5.75;3.75,4.75;3.5,ESP_027000_2325,n,x,#00FFC5,https://www.uahirise.org/ESP_027000_2325
Site 18,39.11,190.25,Yes,12;11.5;8.5;8;7.5,8.5;6.25;5,ESP_029256_2195,n,x,#00FFC5,https://www.uahirise.org/ESP_029256_2195
Site 19,-71.51,191.53,Yes,7,x,ESP_032118_1085,x,x,#00FFC5,https://www.uahirise.org/ESP_032118_1085
Site 44,-46.21,208.64,Yes,7;4.5,x,ESP_059453_1335,x,x,#00FFC5,https://www.uahirise.org/ESP_059453_1335
Site 20,-73.69,250.62,Yes,8.5;5;4.5;2.25,x,ESP_032340_1060,y,Ejecta relatively-yellow initially but blue/white later in fading and shrinking.,#00FFC5,https://www.uahirise.org/ESP_032340_1060
Site 21,68.54,358.53,Yes,4.25;2.5,x,ESP_033825_2490,x,x,#00FFC5,https://www.uahirise.org/ESP_033825_2490
Site 22,65.06,220.5,Yes,4.5;3.75;3.25,x,ESP_036085_2455,x,x,#00FFC5,https://www.uahirise.org/ESP_036085_2455
Site 23,57.33,234.2,Yes,2.75;1.75,1.75,ESP_036467_2375,x,x,#00FFC5,https://www.uahirise.org/ESP_036467_2375
Site 24,69.47,80.44,Yes,7.5,x,ESP_036657_2495,n,x,#00FFC5,https://www.uahirise.org/ESP_036657_2495
Site 25,74.64,49.56,Yes,8,x,ESP_036658_2550,x,x,#00FFC5,https://www.uahirise.org/ESP_036658_2550
Site 26,55.62,241.24,Yes,10,x,ESP_036836_2360,n,x,#00FFC5,https://www.uahirise.org/ESP_036836_2360
Site 27,63.68,251.45,Yes,Uncertain,x,ESP_037086_2440,x,x,#00FFC5,https://www.uahirise.org/ESP_037086_2440
Site 28,-62.54,76.0,Yes (CTX),4.5,x,ESP_037502_1170,x,x,#00FFC5,https://www.uahirise.org/ESP_037502_1170
Site 29,-57.36,125.17,Yes,5.75;4.25;2.5,x,ESP_039861_1225,n,x,#00FFC5,https://www.uahirise.org/ESP_039861_1225
Site 30,-65.0,329.84,Yes,6,x,ESP_039946_1150,x,x,#00FFC5,https://www.uahirise.org/ESP_039946_1150
Site 31,42.58,189.02,Yes,6,2.5,ESP_043537_2230,x,x,#00FFC5,https://www.uahirise.org/ESP_043537_2230
Site 32,45.85,147.2,Yes,7.25;6.75,4.75,ESP_045754_2260,x,x,#00FFC5,https://www.uahirise.org/ESP_045754_2260
Site 33,58.97,58.58,Yes,3.25;2.75,2.75,ESP_045823_2390,x,x,#00FFC5,https://www.uahirise.org/ESP_045823_2390
Site 34,64.38,77.59,Yes,4.5;3.5,x,ESP_045875_2445,x,x,#00FFC5,https://www.uahirise.org/ESP_045875_2445
Site 35,63.95,282.39,Yes,5,x,ESP_045973_2440,x,x,#00FFC5,https://www.uahirise.org/ESP_045973_2440
Site 36,69.35,142.2,Yes,12,x,ESP_046189_2495,n,x,#00FFC5,https://www.uahirise.org/ESP_046189_2495
Site 37,41.46,48.76,Yes,48,x,ESP_046707_2220,x,x,#00FFC5,https://www.uahirise.org/ESP_046707_2220
Site 38,41.91,36.42,Yes,16,x,ESP_046747_2220,x,x,#00FFC5,https://www.uahirise.org/ESP_046747_2220
Site 39,-58.54,207.23,Yes,6;5.5;5.5,x,ESP_047005_1210,x,x,#00FFC5,https://www.uahirise.org/ESP_047005_1210
Site 40,-51.29,101.06,Yes,3.75,3,ESP_051070_1285,x,x,#00FFC5,https://www.uahirise.org/ESP_051070_1285
Site 41,-67.14,15.35,Yes,2,x,ESP_058735_1125,x,Slightly relatively-yellow but setting highly suggestive of ice.,#00FFC5,https://www.uahirise.org/ESP_058735_1125
Site 42,-68.31,156.61,Yes,3.5,x,ESP_058453_1115,x,x,#00FFC5,https://www.uahirise.org/ESP_058453_1115
Site 43,-71.74,156.63,Yes,4,x,ESP_058809_1080,x,Slightly relatively-yellow but setting highly suggestive of ice.,#00FFC5,https://www.uahirise.org/ESP_058809_1080
Site 45,52.95,50.87,Yes,7,x,ESP_033942_2335,n,x,#00FFC5,https://www.uahirise.org/ESP_033942_2335
Site 46,46.62,171.88,Yes,6,4,ESP_036443_2270 and ESP_036588_2270,x,x,#00FFC5,https://www.uahirise.org/ESP_036443_2270
Site 47,39.56,202.42,Yes,5.5,x,ESP_043853_2200,x,x,#00FFC5,https://www.uahirise.org/ESP_043853_2200
Site 48,47.43,112.01,Yes,8;6.75,7;6.25;4.25,ESP_063979_2280,x,x,#00FFC5,https://www.uahirise.org/ESP_063979_2280
